issue_id,issue_name,description,causes,symptoms,severity_levels,treatment_approach,key_ingredients,prevention_tips
ISS-001,Acne,Acne is a skin condition where pores become clogged with dead skin and sebum leading to breakouts,Hormones; Bacteria (Cutibacterium acnes); Excess sebum production; Poor skincare; Stress,Pimples; Blackheads; Whiteheads; Cysts; Redness; Scarring,Mild - few pimples; Moderate - multiple pimples; Severe - deep cysts; Cystic - painful nodules,Use exfoliants to unclog pores; Apply antibacterial products; Reduce oil production; Keep skin clean twice daily,Salicylic Acid; Benzoyl Peroxide; Azelaic Acid; Niacinamide,Keep skin clean; Don't touch face; Change pillowcase every 2 days; Manage stress; Avoid heavy makeup
ISS-002,Large Pores,Enlarged pores are usually caused by excess oil production or genetics and can trap dirt and bacteria,Genetics; Excess sebum; Sun damage; Age; Dehydration,Visibly enlarged pores; Prone to blackheads; Rough texture; Oily appearance,Small - barely visible; Medium - noticeable; Large - very prominent,Use pore-minimizing serums; Exfoliate regularly; Control oil; Use clay masks,Niacinamide; Salicylic Acid; Clay; Retinol,Use sunscreen daily; Keep skin hydrated; Exfoliate 2-3x weekly; Manage oil production
ISS-003,Dark Spots,Dark spots are areas of hyperpigmentation caused by excess melanin production,Sun exposure; Hormonal changes; Acne scars; Aging; Inflammation,Uneven tone; Brown or black patches; Dullness; Pigmented scars,Mild - light discoloration; Moderate - visible spots; Severe - deep pigmentation,Use brightening serums; Apply sunscreen; Exfoliate gently; Use chemical peels,Vitamin C; Niacinamide; Kojic Acid; Alpha Arbutin; Retinol,Always wear sunscreen; Avoid picking pimples; Use antioxidants; Maintain gentle exfoliation
ISS-004,Blackheads,Blackheads are open comedones caused by clogged pores filled with sebum and dead cells that oxidize,Excess oil; Poor cleansing; Dead skin buildup; Heavy makeup; Humidity,Visible black dots on nose or chin; Rough skin texture; Oily appearance,Mild - few small dots; Moderate - visible clusters; Severe - widespread clogging,Use exfoliating acids; Pore strips; Gentle cleansing; Avoid pore-blocking products,Salicylic Acid; Charcoal; Clay; Retinoids,Wash face twice daily; Avoid heavy creams; Exfoliate regularly; Keep pores clean
ISS-005,Wrinkles,Wrinkles are fine lines or folds in the skin caused by loss of elasticity and collagen with age,Aging; Sun damage; Smoking; Dehydration; Repetitive expressions,Fine lines; Sagging; Dry texture; Creases around eyes and mouth,Mild - faint lines; Moderate - visible lines; Severe - deep folds,Use anti-aging serums; Moisturize daily; Protect from UV; Stimulate collagen,Retinol; Peptides; Hyaluronic Acid; Vitamin E; Collagen,Use SPF daily; Stay hydrated; Sleep well; Avoid smoking
ISS-006,Clogged Pores,Clogged pores occur when oil and debris block hair follicles leading to dull skin and breakouts,Excess sebum; Sweat; Makeup residue; Pollution; Poor cleansing,Dullness; Tiny bumps; Blackheads; Whiteheads; Congested skin,Mild - few blocked pores; Moderate - multiple clogged areas; Severe - inflammation,Double cleanse; Exfoliate 2-3 times a week; Use clay masks,Salicylic Acid; Glycolic Acid; Clay; Niacinamide,Remove makeup daily; Avoid comedogenic products; Keep tools clean
ISS-007,Oily Skin,Oily skin produces excess sebum that can clog pores and lead to acne,Genetics; Hormones; Humidity; Wrong skincare,Shiny T-zone; Enlarged pores; Frequent breakouts; Makeup melts easily,Mild - light shine; Moderate - visible oil; Severe - greasy appearance,Use oil-control products; Light moisturizers; Mattifying serums,Niacinamide; Zinc PCA; Clay; Green Tea Extract,Use blotting paper; Avoid heavy creams; Use gel-based products
ISS-008,Uneven Texture,Uneven skin texture feels rough or bumpy due to buildup of dead cells or enlarged pores,Dehydration; Dead skin buildup; Sun damage; Acne scars,Roughness; Dullness; Bumps; Large pores,Mild - slight roughness; Moderate - visible texture; Severe - thickened areas,Exfoliate regularly; Use retinoids; Moisturize consistently,AHAs; BHAs; Retinol; Lactic Acid,Keep skin hydrated; Avoid harsh scrubs; Apply sunscreen
ISS-009,Post-Acne Scars,Post-acne scars form after inflammation damages skin tissue,Severe acne; Picking pimples; Delayed healing,Depressed scars; Dark marks; Uneven tone,Mild - light pigmentation; Moderate - visible scars; Severe - deep indentations,Use resurfacing treatments; Microneedling; Retinoids; Brightening serums,Retinol; Niacinamide; Vitamin C; Centella Asiatica,Avoid picking pimples; Use sunscreen; Treat acne early
ISS-010,Premature Aging,Premature aging occurs when external factors accelerate skin aging before its natural time,Sun exposure; Smoking; Stress; Poor diet; Lack of sleep,Fine lines; Loss of firmness; Dullness; Uneven tone,Mild - early fine lines; Moderate - visible wrinkles; Severe - sagging,Use antioxidants; Moisturize daily; Wear SPF; Eat antioxidant-rich foods,Vitamin C; Retinol; Hyaluronic Acid; CoQ10,Protect from UV; Manage stress; Eat well; Get enough sleep
