ProductID,Brand,ProductName,Category,SkinType,Concern,KeyIngredients,Description,PriceRange,ProductLink
1,CeraVe,Hydrating Facial Cleanser,Cleanser,Dry,Sensitivity,"Ceramides, Hyaluronic Acid","A gentle non-foaming cleanser that removes dirt while restoring skin’s natural barrier. Helps maintain moisture and is perfect for dry, sensitive skin.",Affordable,https://www.cerave.com
2,La Roche-Posay,Effaclar Purifying Foaming Gel,Cleanser,Oily,Acne,"Zinc PCA, Thermal Water",A refreshing gel cleanser that deeply purifies pores and removes excess oil. Reduces acne breakouts and keeps the skin feeling balanced.,Medium,https://www.laroche-posay.com
3,The Ordinary,Niacinamide 10% + Zinc 1%,Serum,Combination,Pores,"Niacinamide, Zinc","A powerful serum that minimizes pores, regulates oil, and brightens uneven tone. Ideal for acne-prone and combination skin.",Affordable,https://www.theordinary.com
4,Neutrogena,Hydro Boost Water Gel,Moisturizer,Normal,Dryness,"Hyaluronic Acid, Glycerin",A lightweight gel moisturizer that delivers intense hydration without clogging pores. Leaves skin smooth and plump all day.,Affordable,https://www.neutrogena.com
5,The Inkey List,Retinol Serum,Serum,Normal,Wrinkles,"Retinol, Squalane",A gentle retinol serum that smooths fine lines and boosts collagen production. Designed for beginners to reduce early signs of aging.,Affordable,https://www.theinkeylist.com
6,La Roche-Posay,Anthelios Melt-in Milk Sunscreen SPF 60,Sun Care,All,Dark Spots,"Mexoryl SX, Antioxidants",A broad-spectrum sunscreen with high UV protection. Prevents sun-induced dark spots and premature aging.,Medium,https://www.laroche-posay.com
7,Paula’s Choice,2% BHA Liquid Exfoliant,Treatment,Oily,Blackheads,"Salicylic Acid, Green Tea","A leave-on exfoliant that unclogs pores, removes blackheads, and smooths skin texture. Ideal for oily or combination skin.",Medium,https://www.paulaschoice.com
8,CeraVe,PM Facial Moisturizing Lotion,Moisturizer,Normal,Wrinkles,"Niacinamide, Ceramides",A nighttime lotion that restores the skin barrier and locks in hydration. Helps minimize fine lines and supports overnight recovery.,Affordable,https://www.cerave.com
9,The Ordinary,Hyaluronic Acid 2% + B5,Serum,Dry,Dullness,"Hyaluronic Acid, Vitamin B5","A deeply hydrating serum that restores moisture balance and enhances skin elasticity. Perfect for dry, tired-looking skin.",Affordable,https://www.theordinary.com
10,Eucerin,Advanced Repair Cream,Moisturizer,Dry,Dryness,"Ceramides, Urea",A rich moisturizing cream that strengthens skin barrier and provides long-lasting hydration. Suitable for dry and rough skin.,Affordable,https://www.eucerinus.com
11,Bioderma,Sébium Gel Moussant,Cleanser,Oily,Acne,"Zinc Sulfate, Copper Sulfate",A purifying foaming gel that gently cleanses oily skin without stripping. Controls sebum and reduces acne recurrence.,Medium,https://www.bioderma.com
